title,address,price,bedrooms,bathrooms,area,area_lot
,"2915 Warwick Ave, Los Angeles, CA 90032","$899,000",5 bed,4 bath,"1,950 sqft","6,108 sqft lot"
,"10166 Wealtha Ave, Sun Valley, CA 91352","$1,668,000",4 bed,3.5 bath,"3,925 sqft",0.46 acre lot
,"24353 W Stone Bend Ln, Los Angeles, CA 91304","$1,485,990",5 bed,5.5 bath,"4,336 sqft",0.61 acre lot
,"715 W Hamilton Pl, San Pedro, CA 90731","$699,000",2 bed,1 bath,"1,092 sqft","6,552 sqft lot"
,"1356 Masselin Ave, Los Angeles, CA 90019","$1,499,000",6 bed,2 bath,"3,180 sqft","5,820 sqft lot"
,"13600 Marina Pointe Dr Unit 702, Marina del Rey, CA 90292","$1,385,000",2 bed,3 bath,"1,885 sqft",2.82 acre lot
,"4223 Don Carlos Dr, Los Angeles, CA 90008","$1,800,000",4 bed,5 bath,"4,869 sqft",0.32 acre lot
,"4040 Grand View Blvd Unit 89, Los Angeles, CA 90066","$735,000",2 bed,2 bath,841 sqft,2.86 acre lot
,"714 N Spaulding Ave, Los Angeles, CA 90046","$1,975,000",3 bed,3 bath,"1,973 sqft","5,541 sqft lot"
,"3665 Glenfeliz Blvd, Los Angeles, CA 90039","$1,299,000",2 bed,1 bath,"1,116 sqft","4,069 sqft lot"
,"3506 Madera Ave, Los Angeles, CA 90039","$1,299,000",2 bed,1 bath,920 sqft,"6,752 sqft lot"
,"4269 S Hoover St, Los Angeles, CA 90037","$1,249,000",8 bed,6 bath,"2,016 sqft","9,322 sqft lot"
,"462 N Croft Ave, Los Angeles, CA 90048","$4,199,000",5 bed,5 bath,"3,763 sqft","5,850 sqft lot"
,"11330 Burnham St, Los Angeles, CA 90049","$2,195,000",4 bed,2 bath,"2,040 sqft","5,288 sqft lot"
,"10531 Ilona Ave, Los Angeles, CA 90064","$1,749,000",2 bed,1.5 bath,"1,272 sqft","5,850 sqft lot"
,"2867 Belden Dr, Los Angeles, CA 90068","$1,999,999",3 bed,2 bath,"2,290 sqft","8,622 sqft lot"
,"8002 Rayford Dr, Los Angeles, CA 90045","$2,700,000",4 bed,3.5 bath,"4,179 sqft",0.24 acre lot
,"15025 Del Gado Dr, Sherman Oaks, CA 91403","$2,299,000",4 bed,3.5 bath,"2,411 sqft","8,943 sqft lot"
,"4833 Morella Ave, Valley Village, CA 91607","$5,298,000",5 bed,5 bath,"6,300 sqft",0.57 acre lot
,"10795 Wilshire Blvd Apt 103, Los Angeles, CA 90024","$1,395,000",2 bed,2.5 bath,"1,717 sqft",0.4 acre lot
,"14951 Otsego St, Sherman Oaks, CA 91403","$1,599,000",4 bed,4 bath,"2,395 sqft","6,246 sqft lot"
,"818 Angelus Pl, Venice, CA 90291","$2,275,000",3 bed,2 bath,"1,670 sqft","3,685 sqft lot"
,"441 N Alfred St, Los Angeles, CA 90048","$4,800,000",5 bed,5.5 bath,"5,506 sqft","7,754 sqft lot"
,"4315 Beethoven St, Los Angeles, CA 90066","$1,535,000",3 bed,2 bath,"1,555 sqft","4,400 sqft lot"
,"1602 W 120th St, Los Angeles, CA 90047","$600,000",3 bed,2 bath,"1,809 sqft","5,754 sqft lot"
,"3750 Santa Rosalia Dr Apt 207, Los Angeles, CA 90008","$569,900",2 bed,2 bath,"1,110 sqft",0.87 acre lot
,"1236 S Union Ave Unit 6, Los Angeles, CA 90015","$639,000",3 bed,2.5 bath,"1,223 sqft",0.53 acre lot
,"6814-1/2 Saint Estaban St, Tujunga, CA 91042","$449,000",2 bed,1.5 bath,935 sqft,3.72 acre lot
,"11166 Telfair Ave, Pacoima, CA 91331","$549,800",4 bed,2 bath,"1,150 sqft","7,492 sqft lot"
,"3480 Barham Blvd Apt 119, Los Angeles, CA 90068","$550,000",2 bed,2 bath,"1,151 sqft",2.48 acre lot
,"5461 Newcastle Ave Apt 5, Encino, CA 91316","$489,000",2 bed,3 bath,"1,260 sqft",1.04 acre lot
,"7027 Gloria Ave, Lake Balboa, CA 91406","$749,000",3 bed,2 bath,"1,581 sqft","4,966 sqft lot"
,"5805 Whitsett Ave Apt 211, Valley Village, CA 91607","$388,000",1 bed,1 bath,928 sqft,0.4 acre lot
,"12032 Eddleston Dr, Porter Ranch, CA 91326","$769,900",3 bed,2 bath,"1,560 sqft",0.27 acre lot
,"11750 Shoshone Ave, Granada Hills, CA 91344","$959,000",5 bed,3 bath,"2,636 sqft",0.37 acre lot
,"7250 Franklin Ave Unit 715, Los Angeles, CA 90046","$659,000",2 bed,1.5 bath,996 sqft,1.23 acre lot
,"20600 Desert Ash Ln, Winnetka, CA 91306","$685,000",4 bed,4 bath,"2,031 sqft","1,852 sqft lot"
,"10550 Wilshire Blvd Apt 903, Los Angeles, CA 90024","$942,000",2 bed,2 bath,"1,711 sqft",0.43 acre lot
,"8825 S David Ave, Los Angeles, CA 90034","$995,000",2 bed,2 bath,"1,186 sqft","3,711 sqft lot"
,"345 S Alexandria Ave Apt 219, Los Angeles, CA 90020","$329,000",1 bed,1 bath,570 sqft,0.95 acre lot
,"1627 Echo Park Ave Apt 5, Los Angeles, CA 90026","$899,000",3 bed,3 bath,"1,320 sqft",1.4 acre lot
